model,accuracy,precision,recall,f1,cv_f1_mean,cv_f1_std,train_time_sec
Linear SVM,0.9861510791366906,0.9861879978679005,0.9861510791366906,0.9861473352281707,0.985473187087497,0.0007146067841357379,3.424
Random Forest,0.9858513189448441,0.9858589804946997,0.9858513189448441,0.9858494623385966,0.9841092453945522,0.001550849288226604,395.381
Logistic Regression,0.9841127098321343,0.9841591811477969,0.9841127098321343,0.9841078198833159,0.9830718914039054,0.0006924217522449238,2.513
Naive Bayes,0.9651678657074341,0.9651679602104851,0.9651678657074341,0.9651641240469732,0.9656886431667943,0.002049271695502074,2.632
Decision Tree,0.9630095923261391,0.9630129511801022,0.9630095923261391,0.9630108519364531,0.9618544602024943,0.0012626858817574985,140.643
